"e401","p401","tw_adjust_original","net_tfa_adjust_original","net_nifa","age","inc","db","ira","hequity","educ","fsize","marr","male","twoearn","withdrawal"
0,0,64219,-2431,147569,31,37316,0,0,18000,16,2,0,1,0,0
0,0,3253,-1550,148450,31,23747,1,0,0,16,1,0,1,0,0
0,0,19250,-750,149000,31,31469,0,250,10000,13,2,1,0,1,0
0,0,67450,34450,184450,31,42749,0,0,26000,12,2,1,0,1,0
0,0,3199,699,150699,40,32975,1,0,0,18,1,0,0,0,0
0,0,17300,-8700,141300,31,40472,0,0,21000,12,4,1,0,1,0
0,0,16645,-1855,148145,34,16121,0,0,15000,13,3,1,0,1,0
0,0,3000,3000,153000,63,34763,0,0,0,10,2,1,1,1,1
0,0,0,0,150000,55,25199,0,0,0,16,1,0,1,0,0
0,0,130000,57000,207000,29,58877,0,0,65000,1,3,1,0,0,0
0,0,3100,-5900,144100,53,14495,0,0,7000,15,2,0,0,0,0
0,0,4800,0,150000,46,17279,0,0,0,12,5,0,0,0,0
0,0,181199,21199,171199,39,50282,1,0,160000,16,4,1,0,1,0
0,0,320829,7999,150999,37,51059,0,7000,3e+05,15,1,0,1,0,0
0,0,10200,-24800,125200,56,31547,0,0,35000,14,5,1,0,1,0
0,0,56618,32568,182568,49,12674,1,0,5100,12,3,0,0,0,0
0,0,40199,199,150199,41,25541,1,0,0,8,4,0,1,0,0
0,0,80883,35883,180083,39,56912,0,5800,45000,16,3,1,1,1,0
0,0,-4651,-8301,141699,39,28835,0,0,0,18,2,0,1,0,0
0,0,73000,36950,186950,37,14399,0,0,25000,16,2,0,0,0,0
0,0,6158,2258,152258,32,13865,0,0,0,12,2,0,0,0,0
0,0,2750,50,150050,26,16214,0,0,2200,13,3,1,0,0,0
0,0,187000,1e+05,225000,64,43001,0,25000,86999.9999999999,14,2,1,0,0,1
0,0,4300,-1700,148300,35,42392,0,0,0,12,4,1,0,0,0
0,0,-1900,-8900,141100,37,50279,0,0,3000,13,4,1,0,1,0
0,0,3985,635,149635,25,21629,0,1000,0,16,1,0,1,0,0
0,0,20204,-1796,148204,44,51551,1,0,0,12,4,1,0,1,0
0,0,0,0,150000,27,8285,0,0,0,12,1,0,1,0,0
0,0,16749,4199,154199,44,15869,0,0,0,12,2,0,0,0,0
0,0,9000,0,150000,32,22439,0,0,9000,12,3,1,0,1,0
0,0,335,-165,149835,37,20420,0,0,0,13,1,0,1,0,0
0,0,53600,-400,149600,48,27155,0,0,53500,12,2,0,0,0,0
0,0,170805,65805,190005,38,52034,1,25800,105000,15,4,1,0,1,0
0,0,0,0,150000,31,23222,0,0,0,12,4,1,1,0,0
0,0,-7498,-21498,122502,45,34001,0,6000,0,12,3,1,0,0,0
0,0,154999,4999,154999,41,60599,1,0,150000,12,5,1,0,1,0
0,0,365897,87897,179897,59,79544,0,58000,75000,18,2,1,0,0,0
0,0,0,0,150000,27,18155,0,0,0,12,4,1,0,1,0
0,0,-450,-450,149550,53,21599,0,0,0,12,1,0,0,0,0
0,0,215822,63022,197500,37,41993,0,15522,114000,12,4,1,1,1,0
0,0,13100,7300,157300,31,50345,0,0,4000,12,4,1,0,1,0
0,0,9033,-3800,146200,51,19814,1,0,0,15,1,0,0,0,0
0,0,3361,-1480,148520,33,12500,1,0,0,12,2,0,0,0,0
0,0,1474,199,150199,35,33011,0,0,0,14,3,0,0,0,0
0,0,34294,626,150626,28,38399,0,0,29600,12,2,1,0,1,0
0,0,6950,450,150450,36,26471,0,0,5500,10,3,1,0,1,0
0,0,-46700,-46700,103300,32,44459,1,0,0,14,4,1,0,1,0
0,0,3950,750,150750,25,27656,0,0,0,12,1,0,1,0,0
0,0,-34434,-43434,106566,60,40916,0,0,0,13,3,1,0,0,1
0,0,11400,8400,158400,35,47039,0,0,0,18,4,1,0,1,0
0,0,11924,10299,160299,44,22955,0,0,0,6,2,0,0,0,0
0,0,167600,17600,155100,60,23108,0,12500,150000,13,2,1,0,0,1
0,0,14800,11100,161100,34,28379,0,0,0,12,4,1,0,1,0
0,0,6904,-296,149704,27,32153,0,0,0,13,3,1,0,1,0
0,0,106204,25204,170886,62,33095,0,4318,81000.0000000001,9,2,1,0,0,1
0,0,50,50,150050,34,17882,0,0,0,6,5,1,0,1,0
0,0,3700,1200,151200,30,22361,0,0,0,13,1,0,1,0,0
0,0,16400,900,150900,36,42113,0,0,0,15,5,1,0,1,0
0,0,718000,74000,174000,52,97297.9999999999,1,50000,275000,16,4,1,1,1,0
0,0,83149,31649,151049,40,36059,0,30600,50000,13,1,1,0,0,0
0,0,8500,8300,149300,40,40193,1,9000,0,12,3,1,0,1,0
0,0,114620,4620,143620,53,88420.9999999999,0,11000,110000,17,5,1,0,1,0
0,0,3000,3000,153000,46,7937,1,0,0,12,2,0,0,0,0
0,0,752,-248,149752,41,14579,0,0,0,12,3,0,1,0,0
0,0,5100,5100,153100,30,29615,0,2000,0,16,3,1,0,1,0
0,0,75500,5500,155500,33,38849,0,0,70000,12,5,1,0,0,0
0,0,10600,100,150100,41,45623,0,0,10500,13,4,1,0,0,0
0,0,131868,-113,149887,36,21368,0,0,125000,12,2,0,0,0,0
0,0,2650,2650,152650,58,15419,0,0,0,12,2,1,0,0,0
0,0,500,0,150000,25,8924.00000000001,0,0,0,1,3,0,0,0,0
0,0,3250,-100,149900,31,20474,0,0,0,17,1,1,0,0,0
0,0,32024,1024,151024,26,42737,0,0,31000,15,3,1,0,1,0
0,0,0,0,150000,30,18752,0,0,0,12,1,0,0,0,0
0,0,1200,0,150000,28,14279,0,0,0,6,1,0,1,0,0
0,0,3685,-315,149685,31,11363,0,0,0,12,4,1,0,0,0
0,0,7550,-2450,147550,27,48899,0,0,0,12,3,1,1,1,0
0,0,0,0,150000,36,11399,0,0,0,11,2,0,0,0,0
0,0,11200,-11800,138200,46,33374,0,0,7000,12,3,1,0,1,0
0,0,32039,11422,161422,57,11819,1,0,17000,12,2,0,0,0,0
0,0,-2140,-2140,147860,29,22439,0,0,0,12,3,1,0,0,0
0,0,0,0,150000,53,7439,0,0,0,12,1,0,0,0,0
0,0,6475,300,150300,29,19214,0,0,0,12,1,0,1,0,0
0,0,193000,5000,155000,41,54851,1,0,188000,12,5,1,0,1,0
0,0,53824,-8676,141324,40,37061,1,0,40000,18,5,1,0,1,0
0,0,10200,6000,156000,25,15659,0,0,0,14,1,0,1,0,0
0,0,72000,2000,152000,48,73649,1,0,70000,17,4,1,0,1,0
0,0,121999,11999,161999,30,48110,0,0,90000,14,3,1,0,0,0
0,0,56450,-1550,148450,41,22616,0,0,58000,12,4,1,0,1,0
0,0,-8550,-9050,140950,26,11099,0,0,0,18,1,0,0,0,0
0,0,135600,42600,180100,42,79649,0,12500,93000.0000000001,12,3,1,0,1,0
0,0,38950,950,150950,54,20171,0,0,5000,17,2,1,0,0,0
0,0,-980,-980,149020,56,29528,0,0,0,12,4,1,0,0,0
0,0,-2266,-4700,145300,33,21971,1,0,0,12,2,0,0,0,0
0,0,4200,0,150000,42,13439,0,0,0,14,4,0,0,0,0
0,0,29200,-2800,147200,62,16028,0,0,32000,8,5,1,0,0,1
0,0,11525,-4475,145525,29,43172,0,0,16000,16,4,1,0,0,0
0,0,1875,0,150000,28,11375,0,0,0,13,1,0,0,0,0
0,0,2500,0,150000,33,30599,0,0,0,9,5,1,0,0,0
0,0,11559,7559,157559,35,27602,0,0,4000,12,4,1,0,0,0
0,0,25950,-800,149200,42,9119.00000000001,0,0,25000,10,5,0,0,0,0
0,0,6400,-1100,148900,61,17459,0,0,0,8,3,1,0,1,1
0,0,187710,-6590,143410,44,9472.99999999999,0,0,194300,12,5,1,0,0,0
0,0,-1450,-3475,146525,37,33365,0,0,0,14,2,0,0,0,0
0,0,35500,11500,161500,43,55280,0,0,24000,13,4,1,0,1,0
0,0,7499,-1501,148499,35,43133,0,0,9000,13,4,1,0,1,0
0,0,9744,-7131,142869,38,23849,0,0,15000,9,4,1,0,1,0
0,0,57299,51299,151499,46,52439,0,49800,0,13,3,1,0,1,0
0,0,169350,99350,249350,62,26879,0,0,70000,12,3,1,0,0,1
0,0,3550,-950,149050,37,30404,1,0,2000,12,4,0,0,0,0
0,0,363569,33569,161498,44,32204,0,22071,1e+05,16,5,1,0,1,0
0,0,15410,400,150400,30,21035,0,0,14010,12,3,1,0,0,0
0,0,3200,0,148300,27,12929,1,0,0,16,1,0,0,0,0
0,0,45099,4799,154799,38,43019,0,0,38000,12,5,1,0,1,0
0,0,30000,0,150000,38,8159,0,0,30000,6,4,1,0,0,0
0,0,5,5,150005,33,19199,1,0,0,13,1,0,0,0,0
0,0,-3386,-3386,146614,29,16901,0,0,0,1,5,1,0,0,0
0,0,103137,13176,163176,33,52475,1,0,80000,16,1,0,1,0,0
0,0,20000,0,150000,25,27119,0,0,20000,12,4,1,0,0,0
0,0,16650,-150,149850,36,12635,0,0,14400,16,5,1,0,0,0
0,0,3500,3000,153000,58,13439,0,0,0,12,3,0,0,0,0
0,0,128314,30814,180814,35,57827,0,0,97500,12,2,1,0,1,0
0,0,8000,0,150000,27,12953,0,0,8000.00000000001,12,5,1,0,0,0
0,0,61600,250,150250,57,39311,0,0,58000,16,1,0,0,0,0
0,0,6453,-600,149400,27,64979,1,0,0,13,1,0,1,0,0
0,0,48450,-50,149950,60,17543,0,0,46000,12,2,0,0,0,1
0,0,100,100,150100,46,14039,0,0,0,12,3,1,0,0,0
0,0,10020,20,150020,30,19979,0,0,10000,9,5,1,0,1,0
0,0,2966,-2100,147900,25,24119,0,0,0,12,1,0,0,0,0
0,0,13000,8000,158000,28,24050,0,0,0,12,4,1,0,0,0
0,0,51700,11700,152700,40,52349,0,9000,40000,12,2,1,0,1,0
0,0,800,800,150800,35,21011,0,0,0,12,1,0,1,0,0
0,0,86000,1000,151000,40,56993,0,0,85000,12,3,1,0,1,0
0,0,3350,0,150000,30,26393,0,0,0,12,1,0,1,0,0
0,0,0,0,150000,30,11219,0,0,0,3,3,0,0,0,0
0,0,21190,-1310,148690,46,29231,1,0,0,14,1,0,0,0,0
0,0,184750,-250,149750,56,29699,0,0,25000,12,3,1,0,0,0
0,0,137446,11946,157246,45,68456,0,4700,125500,16,5,1,0,1,0
0,0,3700,-4300,145700,36,10943,0,0,0,13,4,1,0,1,0
0,0,43699,31699,181699,28,39335,0,0,12000,16,3,1,0,0,0
0,0,337000,11000,154000,61,28049,0,7000,125000,16,2,1,0,0,1
0,0,27000,400,150400,60,23243,0,0,25000,12,1,0,1,0,1
0,0,20545,15645,165645,29,31547,0,0,2400,15,5,1,0,0,0
0,0,-9716,-9716,140284,33,24839,0,0,0,12,5,1,1,1,0
0,0,12078,3078,142200,47,66020,1,0,0,14,4,1,0,1,0
0,0,115496,17496,167496,58,51980,0,0,98000,15,5,1,0,0,0
0,0,2149,149,150149,32,19658,0,0,2000,11,5,1,0,0,0
0,0,459121,215121,345121,61,45443,0,20000,80000,13,2,1,0,0,1
0,0,800,300,150300,64,9640.99999999999,0,0,0,10,1,0,1,0,1
0,0,21425,3550,153550,57,34409,0,0,15000,15,3,1,0,1,0
0,0,5100,-1900,148100,29,26783,0,0,1000,13,5,1,0,1,0
0,0,39661,11661,150861,40,24260,0,10800,18000,12,4,1,0,1,0
0,0,-12407,-21450,128550,41,26900,0,0,0,15,2,0,0,0,0
0,0,167493,8750,154350,43,32105,0,4400,150000,12,2,0,0,0,0
0,0,122064,30902,173692,44,46814,1,7210,25100,17,3,0,0,0,0
0,0,8750,2750,152750,32,43559,0,0,6000,13,4,1,0,0,0
0,0,11049,7299,157299,42,47264,1,0,0,18,1,0,0,0,0
0,0,18585,5600,155600,26,58258.9999999999,0,0,4985,12,3,1,0,1,0
0,0,10700,9950,159950,33,22559,0,0,0,18,1,0,1,0,0
0,0,91600,26600,172600,38,80548.9999999999,0,4000,65000,18,2,1,1,1,0
0,0,1056,-4960,145040,27,17003,0,0,0,13,3,0,0,0,0
0,0,8200,4000,154000,25,34169,0,0,0,16,1,0,0,0,0
0,0,50600,600,150600,56,24818,0,0,50000,12,3,1,0,0,0
0,0,28200,-300,149700,55,10799,0,0,28000,12,3,0,0,0,0
0,0,0,0,150000,29,26513,1,0,0,15,2,1,0,0,0
0,0,26400,900,150900,44,15197,0,0,25500,6,3,0,0,0,0
0,0,15070,9645,159645,33,22049,0,0,0,14,2,0,0,0,0
0,0,-400,-400,149600,63,11876,0,0,0,12,3,0,0,0,1
0,0,499,499,150499,40,18029,0,0,0,12,3,0,1,0,0
0,0,26530,30,150030,56,7919,0,0,26500,12,1,0,0,0,0
0,0,14000,-500,149500,50,19301,1,0,14500,12,5,1,0,1,0
0,0,176900,900,143900,52,35408,0,7000,166000,6,2,1,0,1,0
0,0,5010,5010,155010,50,32939,1,0,0,12,3,1,0,0,0
0,0,103075,3500,150500,40,21314,0,3000,93000.0000000001,13,2,0,0,0,0
0,0,48800,48800,196800,26,86819,0,2000,0,18,1,0,0,0,0
0,0,42449,20949,170949,26,27974,0,0,14000,12,3,1,0,0,0
0,0,9800,9800,159800,28,56081,0,0,0,17,2,1,0,1,0
0,0,8530,2030,152030,47,18068,1,0,6000,12,3,0,0,0,0
0,0,0,0,150000,37,22949,0,0,0,7,5,1,0,1,0
0,0,121695,20283,170283,63,27539,0,0,90000,12,2,1,0,0,1
0,0,-900,-1400,148600,31,17603,0,0,0,12,1,0,0,0,0
0,0,4096,-1700,148300,29,39050,0,0,0,16,1,0,0,0,0
0,0,2758,2758,152758,34,96173.0000000001,0,0,0,16,5,1,0,1,0
0,0,53499,2499,152499,28,47069,0,0,50000,12,2,1,0,1,0
0,0,29041,41,150041,48,37847,0,0,29000,17,4,1,0,1,0
0,0,-10644,-13144,136856,44,20999,0,0,0,18,5,0,0,0,0
0,0,89925,800,150800,42,24599,0,0,84000,12,1,0,1,0,0
0,0,162200,52200,194000,56,22463,0,8200.00000000001,110000,12,2,1,0,1,0
0,0,87500,-8000,142000,37,28499,0,0,95000,12,3,0,0,0,0
0,0,0,0,150000,54,10439,0,0,0,8,2,0,0,0,0
0,0,29300,-700,149300,59,13331,0,0,30000,10,2,1,0,0,0
0,0,0,0,150000,40,17135,0,0,0,7,4,0,0,0,0
0,0,92528,48528,167528,58,63359,0,31000,35000,13,2,1,0,1,0
0,0,10295,10200,155700,46,27977,1,4500,0,16,3,0,0,0,0
0,0,7200,-7800,142200,28,43145,0,0,0,14,4,1,0,1,0
0,0,4005,-1795,148205,48,10337,0,0,5000,12,3,1,0,0,0
0,0,123850,2000,152000,42,19151,1,0,120000,18,2,0,0,0,0
0,0,29800,-1200,147800,27,58319,1,1000,0,12,3,1,0,1,0
0,0,18675,3325,153325,43,11459,0,0,12000,12,1,0,0,0,0
0,0,2475,-400,149600,26,13817,1,0,0,14,1,0,0,0,0
0,0,8570,-2430,147570,35,26639,0,0,8000.00000000001,12,3,1,0,1,0
0,0,18300,13050,163050,29,17078,0,0,0,14,1,0,1,0,0
0,0,-8000,-16000,134000,34,57020,0,0,0,14,3,1,0,0,0
0,0,34493,29000,177000,29,12689,0,2000,0,18,1,0,1,0,0
0,0,3100,-3900,146100,27,58445,0,0,0,16,2,1,1,1,0
0,0,162999,-3001,146999,35,34835,1,0,90000,14,5,1,0,1,0
0,0,239350,1400,151400,63,25547,0,0,105000,12,4,0,0,0,1
0,0,0,0,150000,30,13109,0,0,0,11,3,0,0,0,0
0,0,157229,7229,150529,46,18917,1,6700,150000,12,2,1,0,0,0
0,0,182701,21149,167149,40,39200,0,4000,144999,12,1,0,1,0,0
0,0,-2500,-8000,139100,39,36983,1,2900,4000,18,1,0,0,0,0
0,0,186749,144749,294749,61,34736,0,0,35000,12,2,1,0,0,1
0,0,76700,1200,151200,32,29699,0,0,75000,12,3,0,0,0,0
0,0,21450,-10550,139450,44,22247,0,0,32000,6,5,1,0,1,0
0,0,77049,6049,153549,44,67601,1,2500,59000,16,5,1,0,1,0
0,0,-15696,-21070,128930,27,33452,1,0,0,16,3,1,0,1,0
0,0,3400,2900,152900,42,69374,0,0,0,16,1,0,1,0,0
0,0,118550,50,150050,40,42632,0,0,113500,16,5,1,0,1,0
0,0,90900,40900,190115,45,70754.0000000001,0,785,50000,17,2,1,1,1,0
0,0,4225,0,150000,25,13319,0,0,0,11,2,0,0,0,0
0,0,151000,1000,151000,34,102995,0,0,150000,18,3,1,1,1,0
0,0,7665,-11635,138365,37,34802,0,0,11000,11,5,1,0,1,0
0,0,8585,1250,150250,37,19454,1,1000,0,12,1,0,0,0,0
0,0,136011,43411,176561,61,39080,0,16850,85000,10,2,1,0,0,1
0,0,3350,0,150000,51,14999,0,0,0,12,1,0,0,0,0
0,0,13230,230,150230,35,24143,0,0,0,14,4,1,0,0,0
0,0,78010,-23990,126010,48,52205,0,0,102000,12,5,1,0,1,0
0,0,55175,55175,189257,38,23876,0,15918,0,12,2,1,0,0,0
0,0,38500,-7100,142900,43,59207,0,0,42600,12,4,1,0,1,0
0,0,91000,46500,196500,33,41711,0,0,42000,12,4,1,0,0,0
0,0,40370,1370,151370,49,46790,0,0,0,12,2,1,0,1,0
0,0,183648,63648,150648,40,54260,0,62999.9999999999,120000,16,5,1,0,1,0
0,0,0,0,150000,29,16490,0,0,0,15,5,1,0,0,0
0,0,625,-1875,148125,27,13214,0,0,0,13,1,0,0,0,0
0,0,98050,62550,212550,37,53834,1,0,33000,12,4,1,0,1,0
0,0,44840,-3160,146840,42,29297,1,0,22000,15,4,1,0,1,0
0,0,0,0,150000,25,16277,0,0,0,12,3,0,0,0,0
0,0,7796,1046,151046,27,10856,0,0,6000,12,1,0,1,0,0
0,0,10599,599,150599,39,47936,0,0,10000,12,4,1,0,1,0
0,0,82024,-1551,148449,52,16589,0,0,80000,12,2,0,0,0,0
0,0,7399,-3801,146199,30,44423,0,0,0,12,2,1,0,1,0
0,0,49,49,150049,25,11732,0,0,0,12,2,1,0,0,0
0,0,12500,-2500,147500,29,36884,0,0,15000,12,4,1,0,1,0
0,0,165299,75299,225299,58,33509,0,0,90000,12,2,1,0,0,0
0,0,44600,2325,150075,37,19439,1,2250,34000,12,1,0,1,0,0
0,0,56596,29000,167000,48,59255.0000000001,0,10000,0,17,2,0,0,0,0
0,0,31600,7000,155000,45,50327,0,2000,23000,14,2,0,0,0,0
0,0,130499,55499,190499,55,31013,1,15000,75000,16,2,1,0,0,0
0,0,2199,-2801,147199,53,40925,0,0,0,12,3,1,0,1,0
0,0,5980,-13930,136070,44,15602,0,0,19700,7,2,1,1,0,0
0,0,22166,1500,151500,33,24059,0,0,8000.00000000001,12,1,0,0,0,0
0,0,3175,-4900,145100,48,12512,0,0,0,16,1,0,0,0,0
0,0,-1050,-1700,148300,28,11687,0,0,0,12,3,0,0,0,0
0,0,59569,16069,148699,39,45761,0,17370,40000,17,4,1,0,0,0
0,0,137650,22350,162350,37,55559,0,10000,1e+05,13,4,1,0,1,0
0,0,36000,7000,151000,28,30878,0,6000,25000,16,1,0,0,0,0
0,0,-1050,-1800,148200,28,27029,0,0,0,16,1,0,1,0,0
0,0,195148,32148,152148,63,87719,1,30000,8000.00000000001,18,3,1,0,1,1
0,0,90274,89774,189774,61,29981,0,50000,0,12,1,0,0,0,1
0,0,0,0,150000,39,10349,0,0,0,12,4,0,0,0,0
0,0,4099,749,150749,35,16844,0,0,0,11,1,0,1,0,0
0,0,51280,-5000,145000,46,17099,0,0,50700,13,1,0,0,0,0
0,0,42500,500,150500,29,44894,0,0,42000,15,3,1,0,1,0
0,0,3946,3446,153446,47,30719,0,0,0,15,2,0,1,0,0
0,0,3295,1770,150570,27,29660,0,1200,0,16,1,0,0,0,0
0,0,140447,46447,151147,48,73016,0,45300,64000,18,3,1,0,1,0
0,0,8649,8649,158649,36,65503.9999999999,1,0,0,17,4,1,0,1,0
0,0,-1000,-1000,149000,38,30539,0,0,0,11,4,1,0,1,0
0,0,2725,0,150000,37,9791,0,0,0,10,2,0,0,0,0
0,0,-9192,-13092,136908,26,55310,1,0,0,18,2,1,1,1,0
0,0,50,0,150000,25,26267,0,0,0,10,3,1,0,1,0
0,0,335685,55023,155023,64,53378,0,50000,273000,16,4,1,0,0,1
0,0,3087,-22913,127087,48,54503,0,0,0,12,3,1,0,0,0
0,0,3015,2115,152115,27,35204,0,0,0,11,5,1,0,0,0
0,0,500,0,150000,28,9407,0,0,0,9,5,0,0,0,0
0,0,392,392,150392,32,24839,0,0,0,7,3,1,0,1,0
0,0,-1935,-1935,148065,56,22139,1,0,0,14,5,0,0,0,0
0,0,24499,1499,151499,46,56093,1,0,7000,12,2,1,0,1,0
0,0,9225,2325,152325,30,7274,0,0,5000,16,1,0,1,0,0
0,0,-33880,-33880,116120,27,61124,0,0,0,16,2,1,0,1,0
0,0,36210,7210,157210,32,34451,0,0,29000,13,3,1,0,1,0
0,0,1850,0,150000,39,13649,0,0,0,12,3,0,0,0,0
0,0,-4925,-4925,145075,36,10184,0,0,0,12,5,1,0,1,0
0,0,110898,24300,165300,51,35846,1,9000,4000,12,1,0,1,0,0
0,0,0,0,150000,49,16577,0,0,0,7,1,0,1,0,0
0,0,3000,3000,153000,35,24704,0,0,0,18,4,1,0,0,0
0,0,9156,4325,154325,25,36041,1,0,0,16,2,1,0,1,0
0,0,12750,0,150000,32,18755,0,0,12000,12,2,0,0,0,0
0,0,88000,25000,171000,40,70649,1,4000,62999.9999999999,15,4,1,0,1,0
0,0,275008,66808,156808,64,28016,0,60000,106400,12,2,1,0,0,1
0,0,750,0,150000,57,23279,1,0,0,12,1,0,1,0,0
0,0,121950,9950,156450,50,45014,1,3500,104000,12,5,1,0,1,0
0,0,99,99,150099,54,26201,0,0,0,12,1,0,0,0,0
0,0,7950,1500,151500,36,17054,0,0,0,13,2,0,0,0,0
0,0,-3000,-7000,143000,28,19769,1,0,4000,12,4,1,0,1,0
0,0,-980,-980,149020,34,18572,0,0,0,13,5,1,0,0,0
0,0,300,300,150300,43,18359,0,0,0,12,4,1,0,0,0
0,0,2860,-501,149499,45,15560,0,0,0,12,2,0,0,0,0
0,0,14700,200,150200,38,28142,0,0,4500,12,4,1,0,1,0
0,0,4750,900,150900,30,33209,1,0,3000,12,1,0,1,0,0
0,0,55100,4100,146100,49,13199,0,8000.00000000001,42000,10,4,1,0,0,0
0,0,19145,3750,153750,49,25922,0,0,14000,14,1,0,0,0,0
0,0,67899,14899,153399,63,41063,0,11500,50000,12,3,1,0,0,1
0,0,448400,189400,253400,58,39149,0,86000,204000,13,2,1,0,0,0
0,0,3450,3450,149650,33,43829,0,3800,0,15,3,1,0,1,0
0,0,50418,20418,163198,51,17615,1,7220,30000,12,3,1,0,0,0
0,0,13333,9850,151850,43,27380,0,8000.00000000001,0,14,2,0,0,0,0
0,0,8390,-2610,147390,40,38759,0,0,3000,14,5,1,0,1,0
0,0,87000,20000,170000,62,30380,0,0,67000,11,2,1,0,0,1
0,0,19699,-8651,141349,55,27032,0,0,5000,12,1,0,0,0,0
0,0,-1751,-1751,148249,32,41174,1,0,0,12,2,1,1,1,0
0,0,13500,1500,151500,42,24344,0,0,0,12,3,1,1,1,0
0,0,10600,400,150400,56,32375,0,0,3500,12,2,1,0,0,0
0,0,249,249,150249,31,14930,0,0,0,16,1,0,0,0,0
0,0,27998,9998,159998,49,39101,0,0,18000,12,3,1,0,0,0
0,0,15000,-7000,143000,52,53954,0,0,17000,12,4,1,0,1,0
0,0,111363,37279,172579,43,65819,1,14700,50000,14,2,1,0,1,0
0,0,-2475,-2475,147525,30,22235,0,0,0,12,2,1,0,1,0
0,0,70000,0,150000,35,37547,0,0,70000,12,5,1,0,1,0
0,0,8454,4,150004,47,17171,0,0,8450.00000000001,12,5,1,0,1,0
0,0,12279,10029,160029,30,21305,0,0,0,16,2,0,0,0,0
0,0,500,0,150000,25,27029,1,0,0,12,1,0,1,0,0
0,0,30000,4000,154000,36,29159,0,0,21000,12,5,1,0,0,0
0,0,56300,-700,149300,36,20279,0,0,45000,10,5,1,1,1,0
0,0,71550,2550,152550,36,77939,0,0,69000,15,4,1,0,1,0
0,0,167746,13828,155128,62,31691,0,8700,145000,8,2,1,1,0,1
0,0,72600,6600,151600,44,37499,0,5000,62999.9999999999,13,1,0,0,0,0
0,0,-922,-7156,142844,27,8825,0,0,0,13,1,0,1,0,0
0,0,164700,21700,155200,48,32324,1,16500,143000,12,3,1,1,0,0
